year,day,obituaries
2015,01-01,34
2016,01-01,29
2017,01-01,36
2018,01-01,39
2019,01-01,26
2020,01-01,36
2015,01-02,26
2016,01-02,26
2017,01-02,42
2018,01-02,36
2019,01-02,25
2020,01-02,33
2015,01-03,39
2016,01-03,32
2017,01-03,43
2018,01-03,33
2019,01-03,20
2020,01-03,24
2015,01-04,30
2016,01-04,25
2017,01-04,34
2018,01-04,34
2019,01-04,26
2020,01-04,27
2015,01-05,32
2016,01-05,20
2017,01-05,47
2018,01-05,56
2019,01-05,20
2020,01-05,37
2015,01-06,30
2016,01-06,32
2017,01-06,35
2018,01-06,39
2019,01-06,24
2020,01-06,27
2015,01-07,38
2016,01-07,34
2017,01-07,29
2018,01-07,39
2019,01-07,28
2020,01-07,23
2015,01-08,27
2016,01-08,36
2017,01-08,44
2018,01-08,34
2019,01-08,32
2020,01-08,22
2015,01-09,27
2016,01-09,18
2017,01-09,26
2018,01-09,32
2019,01-09,32
2020,01-09,22
2015,01-10,34
2016,01-10,19
2017,01-10,49
2018,01-10,31
2019,01-10,35
2020,01-10,34
2015,01-11,35
2016,01-11,30
2017,01-11,33
2018,01-11,32
2019,01-11,32
2020,01-11,30
2015,01-12,36
2016,01-12,17
2017,01-12,37
2018,01-12,42
2019,01-12,26
2020,01-12,24
2015,01-13,30
2016,01-13,22
2017,01-13,35
2018,01-13,32
2019,01-13,28
2020,01-13,24
2015,01-14,30
2016,01-14,27
2017,01-14,32
2018,01-14,25
2019,01-14,44
2020,01-14,18
2015,01-15,30
2016,01-15,28
2017,01-15,42
2018,01-15,39
2019,01-15,23
2020,01-15,32
2015,01-16,38
2016,01-16,25
2017,01-16,41
2018,01-16,33
2019,01-16,25
2020,01-16,32
2015,01-17,39
2016,01-17,24
2017,01-17,38
2018,01-17,32
2019,01-17,29
2020,01-17,22
2015,01-18,25
2016,01-18,25
2017,01-18,44
2018,01-18,27
2019,01-18,29
2020,01-18,20
2015,01-19,26
2016,01-19,30
2017,01-19,29
2018,01-19,33
2019,01-19,31
2020,01-19,23
2015,01-20,29
2016,01-20,30
2017,01-20,23
2018,01-20,27
2019,01-20,39
2020,01-20,28
2015,01-21,36
2016,01-21,21
2017,01-21,38
2018,01-21,29
2019,01-21,24
2020,01-21,24
2015,01-22,25
2016,01-22,22
2017,01-22,24
2018,01-22,22
2019,01-22,29
2020,01-22,30
2015,01-23,22
2016,01-23,25
2017,01-23,42
2018,01-23,22
2019,01-23,37
2020,01-23,21
2015,01-24,30
2016,01-24,26
2017,01-24,36
2018,01-24,38
2019,01-24,30
2020,01-24,34
2015,01-25,28
2016,01-25,36
2017,01-25,41
2018,01-25,25
2019,01-25,37
2020,01-25,23
2015,01-26,32
2016,01-26,32
2017,01-26,31
2018,01-26,30
2019,01-26,39
2020,01-26,23
2015,01-27,28
2016,01-27,27
2017,01-27,34
2018,01-27,23
2019,01-27,27
2020,01-27,28
2015,01-28,31
2016,01-28,32
2017,01-28,35
2018,01-28,29
2019,01-28,36
2020,01-28,26
2015,01-29,37
2016,01-29,29
2017,01-29,35
2018,01-29,23
2019,01-29,26
2020,01-29,16
2015,01-30,21
2016,01-30,29
2017,01-30,28
2018,01-30,22
2019,01-30,30
2020,01-30,20
2015,01-31,24
2016,01-31,12
2017,01-31,28
2018,01-31,31
2019,01-31,29
2020,01-31,32
2015,02-01,26
2016,02-01,29
2017,02-01,33
2018,02-01,34
2019,02-01,28
2020,02-01,23
2015,02-02,27
2016,02-02,23
2017,02-02,29
2018,02-02,34
2019,02-02,38
2020,02-02,31
2015,02-03,24
2016,02-03,29
2017,02-03,38
2018,02-03,40
2019,02-03,29
2020,02-03,36
2015,02-04,30
2016,02-04,28
2017,02-04,24
2018,02-04,25
2019,02-04,25
2020,02-04,27
2015,02-05,32
2016,02-05,27
2017,02-05,25
2018,02-05,32
2019,02-05,34
2020,02-05,34
2015,02-06,43
2016,02-06,34
2017,02-06,31
2018,02-06,25
2019,02-06,32
2020,02-06,26
2015,02-07,30
2016,02-07,23
2017,02-07,31
2018,02-07,26
2019,02-07,34
2020,02-07,26
2015,02-08,33
2016,02-08,23
2017,02-08,17
2018,02-08,33
2019,02-08,35
2020,02-08,21
2015,02-09,35
2016,02-09,33
2017,02-09,36
2018,02-09,24
2019,02-09,29
2020,02-09,24
2015,02-10,23
2016,02-10,32
2017,02-10,29
2018,02-10,21
2019,02-10,32
2020,02-10,34
2015,02-11,30
2016,02-11,24
2017,02-11,34
2018,02-11,22
2019,02-11,32
2020,02-11,36
2015,02-12,31
2016,02-12,24
2017,02-12,27
2018,02-12,34
2019,02-12,33
2020,02-12,27
2015,02-13,30
2016,02-13,24
2017,02-13,30
2018,02-13,31
2019,02-13,35
2020,02-13,21
2015,02-14,39
2016,02-14,26
2017,02-14,23
2018,02-14,41
2019,02-14,42
2020,02-14,30
2015,02-15,34
2016,02-15,25
2017,02-15,33
2018,02-15,31
2019,02-15,36
2020,02-15,26
2015,02-16,30
2016,02-16,28
2017,02-16,37
2018,02-16,22
2019,02-16,28
2020,02-16,22
2015,02-17,32
2016,02-17,22
2017,02-17,27
2018,02-17,33
2019,02-17,21
2020,02-17,28
2015,02-18,31
2016,02-18,14
2017,02-18,23
2018,02-18,34
2019,02-18,36
2020,02-18,24
2015,02-19,30
2016,02-19,33
2017,02-19,32
2018,02-19,25
2019,02-19,28
2020,02-19,29
2015,02-20,38
2016,02-20,25
2017,02-20,24
2018,02-20,21
2019,02-20,36
2020,02-20,24
2015,02-21,25
2016,02-21,29
2017,02-21,33
2018,02-21,26
2019,02-21,28
2020,02-21,23
2015,02-22,25
2016,02-22,25
2017,02-22,19
2018,02-22,30
2019,02-22,25
2020,02-22,22
2015,02-23,34
2016,02-23,17
2017,02-23,14
2018,02-23,26
2019,02-23,26
2020,02-23,30
2015,02-24,26
2016,02-24,21
2017,02-24,27
2018,02-24,29
2019,02-24,29
2020,02-24,29
2015,02-25,27
2016,02-25,31
2017,02-25,32
2018,02-25,19
2019,02-25,33
2020,02-25,24
2015,02-26,25
2016,02-26,28
2017,02-26,30
2018,02-26,26
2019,02-26,19
2020,02-26,24
2015,02-27,30
2016,02-27,21
2017,02-27,26
2018,02-27,21
2019,02-27,33
2020,02-27,31
2015,02-28,23
2016,02-28,30
2017,02-28,19
2018,02-28,31
2019,02-28,22
2020,02-28,27
2015,02-29,0
2016,02-29,21
2017,02-29,0
2018,02-29,0
2019,02-29,0
2020,02-29,23
2015,03-01,35
2016,03-01,28
2017,03-01,24
2018,03-01,24
2019,03-01,26
2020,03-01,19
2015,03-02,24
2016,03-02,23
2017,03-02,32
2018,03-02,30
2019,03-02,22
2020,03-02,32
2015,03-03,35
2016,03-03,20
2017,03-03,20
2018,03-03,24
2019,03-03,26
2020,03-03,22
2015,03-04,31
2016,03-04,24
2017,03-04,20
2018,03-04,28
2019,03-04,25
2020,03-04,24
2015,03-05,23
2016,03-05,27
2017,03-05,29
2018,03-05,24
2019,03-05,38
2020,03-05,24
2015,03-06,27
2016,03-06,27
2017,03-06,26
2018,03-06,23
2019,03-06,20
2020,03-06,29
2015,03-07,38
2016,03-07,33
2017,03-07,24
2018,03-07,35
2019,03-07,30
2020,03-07,21
2015,03-08,34
2016,03-08,19
2017,03-08,27
2018,03-08,28
2019,03-08,29
2020,03-08,26
2015,03-09,27
2016,03-09,27
2017,03-09,26
2018,03-09,32
2019,03-09,27
2020,03-09,28
2015,03-10,30
2016,03-10,29
2017,03-10,28
2018,03-10,22
2019,03-10,24
2020,03-10,21
2015,03-11,20
2016,03-11,28
2017,03-11,22
2018,03-11,31
2019,03-11,31
2020,03-11,31
2015,03-12,26
2016,03-12,22
2017,03-12,16
2018,03-12,30
2019,03-12,21
2020,03-12,34
2015,03-13,39
2016,03-13,25
2017,03-13,32
2018,03-13,31
2019,03-13,21
2020,03-13,32
2015,03-14,30
2016,03-14,23
2017,03-14,24
2018,03-14,28
2019,03-14,20
2020,03-14,23
2015,03-15,24
2016,03-15,34
2017,03-15,23
2018,03-15,35
2019,03-15,22
2020,03-15,18
2015,03-16,36
2016,03-16,20
2017,03-16,30
2018,03-16,31
2019,03-16,27
2020,03-16,43
2015,03-17,16
2016,03-17,21
2017,03-17,28
2018,03-17,34
2019,03-17,15
2020,03-17,33
2015,03-18,19
2016,03-18,20
2017,03-18,22
2018,03-18,28
2019,03-18,23
2020,03-18,30
2015,03-19,24
2016,03-19,20
2017,03-19,16
2018,03-19,19
2019,03-19,27
2020,03-19,39
2015,03-20,24
2016,03-20,23
2017,03-20,21
2018,03-20,39
2019,03-20,24
2020,03-20,43
2015,03-21,31
2016,03-21,21
2017,03-21,24
2018,03-21,29
2019,03-21,18
2020,03-21,56
2015,03-22,23
2016,03-22,18
2017,03-22,14
2018,03-22,21
2019,03-22,31
2020,03-22,36
2015,03-23,25
2016,03-23,25
2017,03-23,20
2018,03-23,25
2019,03-23,16
2020,03-23,38
2015,03-24,21
2016,03-24,20
2017,03-24,22
2018,03-24,19
2019,03-24,31
2020,03-24,37
2015,03-25,26
2016,03-25,23
2017,03-25,21
2018,03-25,23
2019,03-25,25
2020,03-25,40
2015,03-26,29
2016,03-26,24
2017,03-26,20
2018,03-26,28
2019,03-26,23
2020,03-26,46
2015,03-27,22
2016,03-27,20
2017,03-27,26
2018,03-27,26
2019,03-27,36
2020,03-27,32
2015,03-28,24
2016,03-28,24
2017,03-28,22
2018,03-28,21
2019,03-28,28
2020,03-28,54
2015,03-29,25
2016,03-29,24
2017,03-29,21
2018,03-29,24
2019,03-29,15
2020,03-29,56
2015,03-30,31
2016,03-30,20
2017,03-30,22
2018,03-30,20
2019,03-30,21
2020,03-30,46
2015,03-31,22
2016,03-31,21
2017,03-31,32
2018,03-31,20
2019,03-31,24
2020,03-31,34
2015,04-01,33
2016,04-01,31
2017,04-01,22
2018,04-01,30
2019,04-01,26
2020,04-01,47
2015,04-02,32
2016,04-02,21
2017,04-02,23
2018,04-02,25
2019,04-02,35
2020,04-02,46
2015,04-03,15
2016,04-03,20
2017,04-03,26
2018,04-03,35
2019,04-03,30
2020,04-03,48
2015,04-04,26
2016,04-04,25
2017,04-04,27
2018,04-04,23
2019,04-04,23
2020,04-04,42
2015,04-05,20
2016,04-05,31
2017,04-05,16
2018,04-05,23
2019,04-05,23
2020,04-05,38
2015,04-06,22
2016,04-06,20
2017,04-06,34
2018,04-06,15
2019,04-06,25
2020,04-06,45
2015,04-07,17
2016,04-07,25
2017,04-07,21
2018,04-07,23
2019,04-07,29
2020,04-07,53
2015,04-08,31
2016,04-08,28
2017,04-08,17
2018,04-08,25
2019,04-08,26
2020,04-08,51
2015,04-09,22
2016,04-09,30
2017,04-09,22
2018,04-09,28
2019,04-09,28
2020,04-09,41
2015,04-10,28
2016,04-10,19
2017,04-10,37
2018,04-10,13
2019,04-10,23
